County,tot_change,Natural,Births,Deaths,Migration_otal,International,Domestic
".Bradford County, Florida",-318,-25,2788,2813,-383,54,-437
".Brevard County, Florida",58570,-15771,47809,63580,74263,9438,64825
".Broward County, Florida",204632,64099,201689,137590,141901,142381,-480
".Calhoun County, Florida",-522,-221,1294,1515,-299,31,-330
".Charlotte County, Florida",28943,-13671,9494,23165,42167,2281,39886
".Citrus County, Florida",8427,-13385,9689,23074,21756,331,21425
".Clay County, Florida",28374,4489,19830,15341,23933,3258,20675
".Collier County, Florida",63380,109,29806,29697,63056,20167,42889
".Columbia County, Florida",4160,117,7437,7320,4042,297,3745
".DeSoto County, Florida",3139,567,3546,2979,2581,1484,1097
".Dixie County, Florida",404,-603,1406,2009,1005,-8,1013
".Duval County, Florida",93502,45205,118298,73093,48664,28818,19846
".Escambia County, Florida",20696,5654,35874,30220,15108,5404,9704
".Flagler County, Florida",19389,-3858,7490,11348,23048,1350,21698
".Franklin County, Florida",576,-246,943,1189,808,64,744
".Gadsden County, Florida",-2084,811,5135,4324,-2925,495,-3420
".Gilchrist County, Florida",1641,12,1743,1731,1626,59,1567
".Glades County, Florida",930,-417,621,1038,1335,286,1049
".Gulf County, Florida",-2224,-510,1116,1626,-1752,36,-1788
".Hamilton County, Florida",-371,193,1466,1273,-607,46,-653
".Hardee County, Florida",-800,1603,3529,1926,-2431,313,-2744
".Hendry County, Florida",2879,2722,5440,2718,50,2939,-2889
".Hernando County, Florida",21142,-10079,14143,24222,31073,1930,29143
".Highlands County, Florida",7437,-5745,8302,14047,13232,3261,9971
".Hillsborough County, Florida",242766,62214,156576,94362,179604,74821,104783
".Holmes County, Florida",-306,-549,1829,2378,251,-12,263
".Indian River County, Florida",21895,-6260,11703,17963,27992,2343,25649
".Jackson County, Florida",-3350,-850,4627,5477,-2502,299,-2801
".Jefferson County, Florida",-515,-264,1186,1450,-263,31,-294
".Lafayette County, Florida",-446,-35,667,702,-429,311,-740
".Lake County, Florida",70071,-6460,29353,35813,75879,6639,69240
".Lee County, Florida",151822,-1952,60521,62473,152286,26032,126254
".Leon County, Florida",18099,11327,28035,16708,6640,5800,840
".Levy County, Florida",705,-1272,3692,4964,1979,170,1809
".Liberty County, Florida",-11,112,722,610,-132,-22,-110
".Madison County, Florida",-733,-240,1841,2081,-492,172,-664
".Manatee County, Florida",80374,-3358,31763,35121,82837,9794,73043
".Marion County, Florida",34280,-12786,31649,44435,46967,4122,42845
".Martin County, Florida",14148,-5951,11352,17303,20002,1525,18477
".Miami-Dade County, Florida",218947,110939,291240,180301,107292,390173,-282881
".Monroe County, Florida",1138,190,6687,6497,931,3279,-2348
".Nassau County, Florida",15315,-41,7317,7358,15278,252,15026
".Okaloosa County, Florida",29914,9289,25082,15793,20416,3750,16666
".Okeechobee County, Florida",2172,927,4912,3985,1256,666,590
".Orange County, Florida",247495,79311,149987,70676,167682,115635,52047
".Osceola County, Florida",107066,18996,38096,19100,87696,44339,43357
".Palm Beach County, Florida",176635,3057,133968,130911,173510,82729,90781
".Pasco County, Florida",89242,-8766,45694,54460,97410,7844,89566
".Pinellas County, Florida",58196,-31117,77670,108787,89128,20219,68909
".Polk County, Florida",122704,9786,69821,60035,112597,23260,89337
".Putnam County, Florida",144,-1310,7753,9063,1492,89,1403
".St. Johns County, Florida",74634,2328,18943,16615,71485,1701,69784
".St. Lucie County, Florida",51042,-315,27982,28297,51119,7468,43651
".Santa Rosa County, Florida",32942,4561,17384,12823,28113,636,27477
".Sarasota County, Florida",54309,-23562,26615,50177,77360,7892,69468
".Seminole County, Florida",49116,12028,42240,30212,37331,15383,21948
".Sumter County, Florida",39000,-10573,4311,14884,48895,-134,49029
".Suwannee County, Florida",2862,-812,4269,5081,3596,120,3476
".Taylor County, Florida",-1005,-86,2169,2255,-932,115,-1047
".Union County, Florida",-298,-518,1485,2003,220,79,141
".Volusia County, Florida",58688,-17980,44574,62554,76304,9914,66390
".Wakulla County, Florida",2956,601,3025,2424,2336,81,2255
".Walton County, Florida",19025,1119,6746,5627,17646,224,17422
".Washington County, Florida",577,-491,2231,2722,1034,69,965
".Appling County, Georgia",148,471,2305,1834,-329,-11,-318
".Atkinson County, Georgia",-215,495,1158,663,-718,19,-737
".Bacon County, Georgia",67,222,1414,1192,-151,-14,-137
".Baker County, Georgia",-409,43,295,252,-455,2,-457
".Baldwin County, Georgia",-950,184,4170,3986,-1204,273,-1477
".Banks County, Georgia",855,380,1830,1450,482,94,388
".Barrow County, Georgia",13884,4391,9673,5282,9399,442,8957
".Bartow County, Georgia",7646,3937,12017,8080,3744,172,3572
".Ben Hill County, Georgia",-960,90,2099,2009,-1043,18,-1061
".Berrien County, Georgia",104,233,2135,1902,-138,188,-326
".Bibb County, Georgia",-2624,4873,20009,15136,-7490,1590,-9080
".Bleckley County, Georgia",-191,-73,1223,1296,-126,82,-208
".Brantley County, Georgia",681,245,1989,1744,434,-59,493
".Brooks County, Georgia",-857,-24,1784,1808,-851,122,-973
".Bryan County, Georgia",9412,2421,4676,2255,6959,309,6650
".Bulloch County, Georgia",9365,3270,8052,4782,5980,1037,4943
".Burke County, Georgia",-943,651,2924,2273,-1615,-3,-1612
".Butts County, Georgia",1241,129,2490,2361,1095,-5,1100
".Calhoun County, Georgia",-508,-51,506,557,-462,31,-493
".Camden County, Georgia",4154,4249,7342,3093,-117,559,-676
".Candler County, Georgia",-196,93,1296,1203,-291,47,-338
".Carroll County, Georgia",9422,4403,13799,9396,5036,923,4113
".Catoosa County, Georgia",3655,1109,6696,5587,2594,82,2512
".Charlton County, Georgia",1221,145,1111,966,961,565,396
".Chatham County, Georgia",24303,13876,35609,21733,10368,5620,4748
".Chattahoochee County, Georgia",-356,1856,2156,300,-2284,1558,-3842
".Chattooga County, Georgia",-1233,-263,2673,2936,-977,50,-1027
".Cherokee County, Georgia",44392,12837,25907,13070,31359,1852,29507
".Clarke County, Georgia",11643,6042,12768,6726,5458,3695,1763
".Clay County, Georgia",-352,-65,294,359,-293,-25,-268
".Clayton County, Georgia",32626,24213,39345,15132,8291,5682,2609
".Clinch County, Georgia",-174,187,879,692,-365,91,-456
".Cobb County, Georgia",72076,48642,86635,37993,23793,20133,3660
".Coffee County, Georgia",926,1812,5475,3663,-927,145,-1072
